2002	8006010	6	8	228	73	751.90	1
2001	8011006	11	8	657	56	2487.52	1
2000	8013007	13	8	605	8	439.76	1
2001	8009008	2	8	308	15	68.40	2
2002	8014006	14	8	650	193	9391.40	2
2001	8008010	3	8	495	71	2353.65	1
2003	2004001	14	8	170	45	2031.75	1
2003	8013010	13	8	802	92	1314.68	1
2000	6005005	8	8	465	24	429.12	1
2000	8016006	16	8	597	88	3350.68	2
1999	8006005	6	8	325	14	847.70	1
1998	8013006	13	8	407	90	451.80	1
2002	7012008	12	8	292	52	4208.88	1
2002	8001001	1	8	297	3	100.86	1
2003	2001002	3	8	688	101	7019.84	2
2003	8014005	2	8	268	82	2484.60	1
2003	8012006	12	8	462	78	7658.82	1
2002	8005010	5	8	124	4	394.68	1
1999	8001005	1	8	417	159	8727.60	2
2003	8012009	12	8	273	33	48.51	1
1998	8010010	10	8	116	17	61.20	1
2002	8009007	9	8	117	153	1461.06	2
1999	8008007	8	8	45	23	1168.86	1
1998	8009001	9	8	722	149	11335.43	3
2000	8002008	2	8	620	41	0.00	1
1999	8011001	11	8	390	27	59.13	1
2003	8013004	13	8	89	60	1063.80	1
2000	8016005	16	8	355	37	1061.53	2
2002	8005010	1	8	341	89	11541.52	1
2001	9013009	13	8	79	90	7836.67	3
2003	7016001	16	8	185	84	8961.12	1
1999	8009006	9	8	176	74	367.04	1
2003	1004001	3	8	279	32	1775.68	1
2000	8010005	10	8	23	49	3102.68	1
1999	8006009	6	8	560	73	581.81	1
2000	8010010	10	8	872	82	10374.64	1
1999	8006002	6	8	168	NULL	6699.33	1
2000	8016003	16	8	615	7	4.90	2
2003	8011003	4	8	522	217	10442.01	4
1998	8012001	12	8	453	4	150.00	1
2000	8004003	4	8	216	77	63.91	1
1999	8008005	8	8	213	44	415.36	1
2000	8008005	8	8	180	125	8499.90	3
2000	8003006	3	8	55	71	3013.95	1
2002	8010008	10	8	700	98	4114.04	1
2002	6011007	6	8	78	28	2300.20	1
2000	8008009	8	8	62	52	253.76	1
2002	3004001	11	8	3	103	7285.62	2
1999	8009002	9	8	619	91	965.93	2
2002	8009010	16	8	263	68	3566.60	1
2002	10016011	16	8	382	58	1171.02	1
2003	8014010	14	8	553	14	97.72	1
2001	9003009	3	8	345	14	2112.04	1
2000	8003006	1	8	810	50	1572.50	1
2001	3002001	2	8	75	44	2096.16	1
2000	8005010	5	8	10	195	5436.27	3
1999	8016010	16	8	567	53	1157.52	1
2000	8001009	1	8	275	117	2210.28	2
2002	8012004	12	8	58	169	6684.23	2
1998	8003002	3	8	451	8	572.72	1
2002	6008008	10	8	276	4	348.68	1
2001	8004006	4	8	968	9	1010.70	1
2003	8001002	1	8	326	47	167.61	2
2000	8014003	14	8	795	10	798.10	1
2003	1002002	2	8	227	16	431.68	1
2002	8016009	2	8	588	60	NULL	1
2000	8010006	10	8	119	62	2834.02	1
1999	8010001	10	8	964	8	937.92	1
2001	8010006	10	8	971	83	861.29	2
2003	1002001	6	8	308	16	687.04	1
1999	8001006	1	8	592	1	3.68	1
2000	8009002	9	8	291	38	1285.49	2
2003	8010008	13	8	211	46	284.28	1
1999	8007005	7	8	318	73	64.24	1
2000	8005005	5	8	523	56	1649.12	2
2000	8005004	4	8	531	27	1316.25	1
2002	8010006	10	8	948	82	4933.12	1
2001	8011001	13	8	3	172	13313.81	3
1998	8012006	12	8	70	29	1471.75	1
1998	8004005	4	8	172	164	2645.86	2
2000	8014010	14	8	553	154	7665.53	3
1998	8010010	10	8	872	94	461.28	2
2001	1001001	1	8	858	28	2879.52	1
2003	2002001	2	8	46	119	3893.33	2
2001	3004001	11	8	3	76	841.27	2
2003	8004010	4	8	29	23	107.64	1
2002	8009005	9	8	210	59	1748.86	2
2003	8003002	3	8	256	20	39.00	1
2001	1003001	12	8	598	21	444.78	1
1999	8001010	1	8	662	21	513.12	2
